name,repo_relative_path,size_mb,file_count,last_write_time,retention_decision,retention_reason
evidence_compacthybrid_mobilevit_s_yolof_scratch_10e_reject_20260711,runs\evidence_compacthybrid_mobilevit_s_yolof_scratch_10e_reject_20260711,19.026,229,2026-07-11T12:13:21,KEEP_COMPACT_EVIDENCE,compacted evidence root
diagnostic_context_grayedge_p6_s2_full_train_val_20260711,runs\diagnostic_context_grayedge_p6_s2_full_train_val_20260711,18.952,10,2026-07-11T10:48:40,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
cleanlab_top5_teacher_train_audit_20260627,runs\cleanlab_top5_teacher_train_audit_20260627,18.57,241,2026-06-27T13:19:30,REVIEW_REQUIRED,not automatically classified; keep until manually audited
class1_reroute_train_to_val_cartography_v8_20260627,runs\class1_reroute_train_to_val_cartography_v8_20260627,17.132,12,2026-06-27T21:42:19,REVIEW_REQUIRED,not automatically classified; keep until manually audited
audit_cidt_readiness_full_train_20260714,runs\audit_cidt_readiness_full_train_20260714,16.845,5,2026-07-14T20:53:27,REVIEW_REQUIRED,not automatically classified; keep until manually audited
local_neighbor_feature_cache_yolof_keeper_cmsf_head_20260704,runs\local_neighbor_feature_cache_yolof_keeper_cmsf_head_20260704,16.807,2,2026-07-04T04:50:17,REVIEW_REQUIRED,not automatically classified; keep until manually audited
probe_v8_yolof_cropbbox_tokenprior_120b_1e_20260706,runs\probe_v8_yolof_cropbbox_tokenprior_120b_1e_20260706,16.789,158,2026-07-06T22:28:24,REVIEW_REQUIRED,not automatically classified; keep until manually audited
xai_softboost_val_rival24_cases16_20260706,runs\xai_softboost_val_rival24_cases16_20260706,16.737,172,2026-07-06T20:53:14,KEEP_XAI_REVIEW,XAI or visual review evidence
xai_smoke_v8_yolof_selfboostcam_w006_t040_val_selected12_20260704,runs\xai_smoke_v8_yolof_selfboostcam_w006_t040_val_selected12_20260704,16.614,166,2026-07-05T09:01:21,KEEP_XAI_REVIEW,XAI or visual review evidence
embedding_retrieval_dinov2_small_yolof_direct_full_20260704,runs\embedding_retrieval_dinov2_small_yolof_direct_full_20260704,16.581,5,2026-07-04T21:05:05,FUTURE_CLEANUP_REVIEW,historical candidate; compact separately after preserving summaries and checking docs
oof_cleanlab_class1_boundary_review_20260627,runs\oof_cleanlab_class1_boundary_review_20260627,16.577,207,2026-06-27T23:18:50,REVIEW_REQUIRED,not automatically classified; keep until manually audited
diagnostic_same_class_fourier_amplitude_mix_full_20260712,runs\diagnostic_same_class_fourier_amplitude_mix_full_20260712,16.4,9,2026-07-12T14:21:51,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
trainonly_router_base_color_fgbg_objectkey_imgfeat_20260701,runs\trainonly_router_base_color_fgbg_objectkey_imgfeat_20260701,16.34,6,2026-07-01T23:44:20,REVIEW_REQUIRED,not automatically classified; keep until manually audited
dinov2_small_features_yolof_remap_20260704,runs\dinov2_small_features_yolof_remap_20260704,16.189,4,2026-07-04T18:34:11,KEEP_TEACHER_DIAGNOSTIC,external/teacher diagnostic or comparison artifact
diagnostic_ciconv_w_complementarity_full_train_val_20260711,runs\diagnostic_ciconv_w_complementarity_full_train_val_20260711,15.562,8,2026-07-11T10:12:36,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
evidence_patchlinear_softtrain_rejected_20260705,runs\evidence_patchlinear_softtrain_rejected_20260705,15.076,155,2026-07-05T03:53:14,KEEP_COMPACT_EVIDENCE,compacted evidence root
cleanlab_oof_mobilenetv3_5fold_2e120b_20260627,runs\cleanlab_oof_mobilenetv3_5fold_2e120b_20260627,13.638,163,2026-06-27T22:36:32,REVIEW_REQUIRED,not automatically classified; keep until manually audited
xai_softboost_verifier_remaining_errors16_20260705,runs\xai_softboost_verifier_remaining_errors16_20260705,13.246,165,2026-07-05T02:42:25,KEEP_XAI_REVIEW,XAI or visual review evidence
evidence_detcls_fullframe_curriculum_rejected_20260711,runs\evidence_detcls_fullframe_curriculum_rejected_20260711,13.196,90,2026-07-11T22:07:39,KEEP_COMPACT_EVIDENCE,compacted evidence root
xai_boundary_review_yolof_keeper_val_current_cases16_datasetcrop_20260704,runs\xai_boundary_review_yolof_keeper_val_current_cases16_datasetcrop_20260704,12.065,165,2026-07-04T04:26:44,KEEP_XAI_REVIEW,XAI or visual review evidence
diagnostic_keeper_knn_transfer_k15_30_50_cache_20260710,runs\diagnostic_keeper_knn_transfer_k15_30_50_cache_20260710,12.001,5,2026-07-11T00:00:26,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
diagnostic_reslt_embedding_cache_keeper_yolof_20260712,runs\diagnostic_reslt_embedding_cache_keeper_yolof_20260712,11.92,6,2026-07-12T03:27:51,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
evidence_complementary_patch_suppression_rejected_20260705,runs\evidence_complementary_patch_suppression_rejected_20260705,11.746,142,2026-07-05T03:28:01,KEEP_COMPACT_EVIDENCE,compacted evidence root
pretrained_expert_predictions_tta_5class_train_20260703,runs\pretrained_expert_predictions_tta_5class_train_20260703,11.635,10,2026-07-03T16:40:09,KEEP_TEACHER_DIAGNOSTIC,external/teacher diagnostic or comparison artifact
xai_smoke_v8_yolof_consensus_policyv1_val_cases12_robust_20260704,runs\xai_smoke_v8_yolof_consensus_policyv1_val_cases12_robust_20260704,11.362,163,2026-07-05T09:01:20,KEEP_XAI_REVIEW,XAI or visual review evidence
xai_smoke_v8_yolof_manualreview_policyv1_val_cases12_robust_20260704,runs\xai_smoke_v8_yolof_manualreview_policyv1_val_cases12_robust_20260704,11.343,163,2026-07-05T09:01:21,KEEP_XAI_REVIEW,XAI or visual review evidence
posthoc_scratch_q34_best_recall_sweep_val,runs\posthoc_scratch_q34_best_recall_sweep_val,10.655,71,2026-05-25T19:12:21,FUTURE_CLEANUP_REVIEW,historical candidate; compact separately after preserving summaries and checking docs
xai_softboost_train_focus_fpfn12_20260705,runs\xai_softboost_train_focus_fpfn12_20260705,9.976,125,2026-07-05T10:55:47,KEEP_XAI_REVIEW,XAI or visual review evidence
forensics_val_groupclean_c1loss065_20260625,runs\forensics_val_groupclean_c1loss065_20260625,9.912,109,2026-06-25T20:28:15,REVIEW_REQUIRED,not automatically classified; keep until manually audited
audit_bicar_smoke_v3_20260714,runs\audit_bicar_smoke_v3_20260714,9.855,87,2026-07-14T22:08:53,REVIEW_REQUIRED,not automatically classified; keep until manually audited
xai_eval_patch_linear_verifier_full_val_changed12_20260705,runs\xai_eval_patch_linear_verifier_full_val_changed12_20260705,9.79,125,2026-07-05T02:15:36,KEEP_XAI_REVIEW,XAI or visual review evidence
hsv_lab_texture_diagnostic_20260702,runs\hsv_lab_texture_diagnostic_20260702,9.51,15,2026-07-02T22:31:23,REVIEW_REQUIRED,not automatically classified; keep until manually audited
classf_predictions_teacherfocusbinary015_20260701,runs\classf_predictions_teacherfocusbinary015_20260701,9.493,18,2026-07-01T19:53:50,REVIEW_REQUIRED,not automatically classified; keep until manually audited
diagnostic_surface_blob_morphology_full_20260712,runs\diagnostic_surface_blob_morphology_full_20260712,9.127,10,2026-07-12T08:01:10,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
evidence_compacthybrid_edgenext_xsmall_yolof_scratch_5e_reject_20260711,runs\evidence_compacthybrid_edgenext_xsmall_yolof_scratch_5e_reject_20260711,9.098,104,2026-07-11T12:37:31,KEEP_COMPACT_EVIDENCE,compacted evidence root
aidt_classf_pretrained_train_20260702,runs\aidt_classf_pretrained_train_20260702,9.076,6,2026-07-02T16:31:05,KEEP_TEACHER_DIAGNOSTIC,external/teacher diagnostic or comparison artifact
expert_router_valselect_top5_notta_imgfeat_20260627,runs\expert_router_valselect_top5_notta_imgfeat_20260627,8.969,6,2026-06-27T12:07:48,REVIEW_REQUIRED,not automatically classified; keep until manually audited
boundary_review_yolof_keeper_val_current_20260704,runs\boundary_review_yolof_keeper_val_current_20260704,8.946,167,2026-07-04T04:21:15,REVIEW_REQUIRED,not automatically classified; keep until manually audited
ensemble_top5_tta_teacher_cache_5class_v1,runs\ensemble_top5_tta_teacher_cache_5class_v1,8.866,101,2026-06-11T20:05:36,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_compacthybrid_edgenext_small_yolof_scratch_5e_reject_20260711,runs\evidence_compacthybrid_edgenext_small_yolof_scratch_5e_reject_20260711,8.801,104,2026-07-11T12:58:31,KEEP_COMPACT_EVIDENCE,compacted evidence root
data_centric_weights_v27_train_only_20260625,runs\data_centric_weights_v27_train_only_20260625,8.549,108,2026-06-25T14:13:32,REVIEW_REQUIRED,not automatically classified; keep until manually audited
diagnostic_finer_cam_class1_full_20260712,runs\diagnostic_finer_cam_class1_full_20260712,8.366,9,2026-07-12T07:09:32,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
patch_verifier_acceptance_meta_gate_yolof_keeper01_20260705,runs\patch_verifier_acceptance_meta_gate_yolof_keeper01_20260705,8.237,8,2026-07-05T02:34:33,REVIEW_REQUIRED,not automatically classified; keep until manually audited
boundary_sample_weights_v11_train_only_20260612,runs\boundary_sample_weights_v11_train_only_20260612,8.198,101,2026-06-12T11:50:03,REVIEW_REQUIRED,not automatically classified; keep until manually audited
diagnostic_highres_surface_tiles_full_20260712,runs\diagnostic_highres_surface_tiles_full_20260712,8.072,9,2026-07-12T06:38:43,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
diagnostic_dinov3_dense_patch_matched_readiness_20260712,runs\diagnostic_dinov3_dense_patch_matched_readiness_20260712,7.793,12,2026-07-12T10:46:20,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
eval_patch_linear_verifier_softboost001_train_20260705,runs\eval_patch_linear_verifier_softboost001_train_20260705,7.302,11,2026-07-05T10:46:14,REVIEW_REQUIRED,not automatically classified; keep until manually audited
eval_yolof_teacherfocusbinary015_best_train_20260702,runs\eval_yolof_teacherfocusbinary015_best_train_20260702,7.292,9,2026-07-02T21:30:33,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_gpsa_relative_position_rejected_20260711,runs\evidence_gpsa_relative_position_rejected_20260711,7.24,80,2026-07-11T08:10:40,KEEP_COMPACT_EVIDENCE,compacted evidence root
yolof_foreground_surface_stats_diagnostic_20260702,runs\yolof_foreground_surface_stats_diagnostic_20260702,7.238,7,2026-07-03T01:24:27,REVIEW_REQUIRED,not automatically classified; keep until manually audited
forensics_val_groupclean_v35_20260626,runs\forensics_val_groupclean_v35_20260626,7.201,77,2026-06-26T03:42:00,REVIEW_REQUIRED,not automatically classified; keep until manually audited
oof_cleanlab_sample_weights_boundary_20260627,runs\oof_cleanlab_sample_weights_boundary_20260627,7.193,92,2026-06-27T22:55:58,REVIEW_REQUIRED,not automatically classified; keep until manually audited
boundary_review_softboost_train_current_20260705,runs\boundary_review_softboost_train_current_20260705,6.985,132,2026-07-05T10:50:46,REVIEW_REQUIRED,not automatically classified; keep until manually audited
diagnostic_pdisco_semantic_parts_k2_full_20260712,runs\diagnostic_pdisco_semantic_parts_k2_full_20260712,6.95,14,2026-07-12T16:24:28,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
diagnostic_border_interior_tta_yolof_softboost_fullval_20260705,runs\diagnostic_border_interior_tta_yolof_softboost_fullval_20260705,6.822,4,2026-07-05T08:30:22,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
foreground_surface_stats_groupclean_v60diag_20260626,runs\foreground_surface_stats_groupclean_v60diag_20260626,6.646,5,2026-06-26T08:07:54,REVIEW_REQUIRED,not automatically classified; keep until manually audited
foreground_surface_stats_groupclean_v67diag_20260626,runs\foreground_surface_stats_groupclean_v67diag_20260626,6.646,5,2026-06-26T11:00:02,REVIEW_REQUIRED,not automatically classified; keep until manually audited
foreground_surface_stats_probe_v46_20260626,runs\foreground_surface_stats_probe_v46_20260626,6.646,5,2026-06-26T02:50:04,REVIEW_REQUIRED,not automatically classified; keep until manually audited
xai_smoke_v8_yolof_fixres320_headpos_bboxfusion_val_selected12_20260703,runs\xai_smoke_v8_yolof_fixres320_headpos_bboxfusion_val_selected12_20260703,6.587,139,2026-07-05T09:01:21,KEEP_XAI_REVIEW,XAI or visual review evidence
audit_bicar_gradient_readiness_full_train_20260714,runs\audit_bicar_gradient_readiness_full_train_20260714,6.531,4,2026-07-14T21:10:33,REVIEW_REQUIRED,not automatically classified; keep until manually audited
audit_bicar_gradient_readiness_full_train_v2_20260714,runs\audit_bicar_gradient_readiness_full_train_v2_20260714,6.53,4,2026-07-14T21:14:09,REVIEW_REQUIRED,not automatically classified; keep until manually audited
xai_smoke_timm_convnexttiny_fb22k_yolof_headonly_val_cases8_20260704,runs\xai_smoke_timm_convnexttiny_fb22k_yolof_headonly_val_cases8_20260704,6.449,31,2026-07-06T20:09:24,KEEP_XAI_REVIEW,XAI or visual review evidence
train_predictions_colordefect_teacherfocusbinary015_20260701,runs\train_predictions_colordefect_teacherfocusbinary015_20260701,6.312,9,2026-07-01T23:32:17,REVIEW_REQUIRED,not automatically classified; keep until manually audited
train_predictions_teacherfocusbinary015_20260701,runs\train_predictions_teacherfocusbinary015_20260701,6.311,9,2026-07-01T18:43:41,REVIEW_REQUIRED,not automatically classified; keep until manually audited
train_predictions_fgbg015_20260701,runs\train_predictions_fgbg015_20260701,6.309,9,2026-07-01T23:39:24,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_blocklocal_head_layers5to8_rejected_20260705,runs\evidence_blocklocal_head_layers5to8_rejected_20260705,6.292,153,2026-07-05T04:57:21,KEEP_COMPACT_EVIDENCE,compacted evidence root
xai_smoke_v8_yolof_surfaceamp_bboxcompat_val_cases12_robust_20260705,runs\xai_smoke_v8_yolof_surfaceamp_bboxcompat_val_cases12_robust_20260705,6.26,148,2026-07-06T20:09:23,KEEP_XAI_REVIEW,XAI or visual review evidence
diagnostic_lbp_surface_texture_full_20260712,runs\diagnostic_lbp_surface_texture_full_20260712,6.2,21,2026-07-12T04:02:44,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
diagnostic_lsa_patchonly_full_val_matrix_20260711,runs\diagnostic_lsa_patchonly_full_val_matrix_20260711,6.154,6,2026-07-11T08:26:50,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
boundary_review_teacherfocusbinary015_train_20260703,runs\boundary_review_teacherfocusbinary015_train_20260703,6.025,88,2026-07-03T11:34:36,REVIEW_REQUIRED,not automatically classified; keep until manually audited
diagnostic_gradient_feature_readout_yolof_keeper_20260705,runs\diagnostic_gradient_feature_readout_yolof_keeper_20260705,5.985,9,2026-07-05T07:43:29,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
diagnostic_yolof_tokenprune_sensitivity_keeper_full_20260704,runs\diagnostic_yolof_tokenprune_sensitivity_keeper_full_20260704,5.945,10,2026-07-04T04:13:14,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
diagnostic_bbn_bilateral_classifier_readiness_sourceguarded_20260712,runs\diagnostic_bbn_bilateral_classifier_readiness_sourceguarded_20260712,5.914,9,2026-07-12T03:31:29,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
